
2024-10-10 16:19:23.410796 - verdise (6751720805): Что вызвало стоп код - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.411795 - verdise (6751720805): Я понимаю - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.446796 - B500OP98 (1443833264): Я ебу - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.448796 - B500OP98 (1443833264): Ну это пиздец так хотел в доту поиграть - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.449797 - B500OP98 (1443833264): А тут такое сука - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.450796 - GroupAnonymousBot (1087968824): я какать хочу - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.451796 - B500OP98 (1443833264): Пиздец - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.453796 - B500OP98 (1443833264): Иди покакай - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.454796 - B500OP98 (1443833264): А ему похуй - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.455796 - B500OP98 (1443833264): Тож самое - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.456796 - GroupAnonymousBot (1087968824): ебни - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.457796 - GroupAnonymousBot (1087968824): сапогом - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.458795 - GroupAnonymousBot (1087968824): по нему - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.459795 - B500OP98 (1443833264): А больше не помогает - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.460795 - GroupAnonymousBot (1087968824): тогда бери биту и ебашь его - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.461795 - GroupAnonymousBot (1087968824): как я мышку - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.462795 - B500OP98 (1443833264): Ну только если так - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.463795 - GroupAnonymousBot (1087968824): пиздец - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.464795 - GroupAnonymousBot (1087968824): хорошо что предупредили тебя - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.467795 - wxschik (7257991755): Так и что Сергей завтра то во флэт надо вечером - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.468796 - GroupAnonymousBot (1087968824): а так бы если тетя Наташа приехала неожиданно - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.469796 - GroupAnonymousBot (1087968824): было бы плохо - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.471796 - wxschik (7257991755): Нихуя - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.473796 - wxschik (7257991755): А там у Сергея спят 3 мужика - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.477796 - wxschik (7257991755): И в комнате перегаром воняет - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.482796 - wxschik (7257991755): Бутылки пустые на кухни - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.483796 - GroupAnonymousBot (1087968824): ты с толчка выходишь - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.484795 - GroupAnonymousBot (1087968824): потому что обосрался - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.486796 - GroupAnonymousBot (1087968824): да норм - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.487796 - wxschik (7257991755): Бля - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.489795 - wxschik (7257991755): Сергей а как клуб - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.490796 - wxschik (7257991755): А как гулянки - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.491795 - wxschik (7257991755): Тебя же хуй пустят Гулять на ночь - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.493796 - GroupAnonymousBot (1087968824): не найдешь - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.494795 - GroupAnonymousBot (1087968824): теть Наташа не контрится - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.496796 - GroupAnonymousBot (1087968824): бляха - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.498796 - GroupAnonymousBot (1087968824): ахахахаха - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.499796 - GroupAnonymousBot (1087968824): да - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.500795 - GroupAnonymousBot (1087968824): никакого клуба - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.501796 - GroupAnonymousBot (1087968824): серега в это время спать будет - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.518795 - verdise (6751720805): Мне интересно что - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.519796 - verdise (6751720805): Перезапускай - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.520796 - verdise (6751720805): Сереж,  привет! 
Я сегодня планирую в Красноярск.  Сейчас папа с д.Виталей документы сдадут и я с Виталей поеду. Наверное, поздно буду. Напишу, как будем выезжать с Абана. - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.522795 - verdise (6751720805): @skodaracing24, @wxschik, - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.524795 - verdise (6751720805): Откисаю - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.525796 - verdise (6751720805): Один раз без предупреждения приехали - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.526796 - verdise (6751720805): В 8 утра - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.529795 - verdise (6751720805): А я проснулся к 10 - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.532795 - verdise (6751720805): Мама не могла разбудить меня и открыть дверь - Type: Text  |  ChatID: -1002124483077


2024-10-10 16:19:23.533796 - verdise (6751720805): +срач был ебанутый - Type: Command  |  ChatID: -1002124483077


2024-10-10 16:19:23.534795 - verdise (6751720805): Так что да - Type: Text  |  ChatID: -1002124483077


